FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.fa4b462b-98d6-3fa5-9f92-a7768702d4a5,-91.38592,-0.16136,2023-05-27 19:36:00,AQUA_M-T,Isabela,Galápagos,Ecuador,POINT (-0.16136 -91.38592)
focos_ams_ontem_hoje_ref.f174d8dd-b960-3e6a-a9bf-9eebfaf202f6,-72.47217,-35.4313,2023-05-27 19:25:00,AQUA_M-T,Talca,Maule,Chile,POINT (-35.4313 -72.47217)
focos_ams_ontem_hoje_ref.3cdbada5-6dea-38ca-8807-372f92957f5d,-63.57784,10.58755,2023-05-27 18:00:00,AQUA_M-T,Ribero,Sucre,Venezuela,POINT (10.58755 -63.57784)
focos_ams_ontem_hoje_ref.1793372b-fe7d-3fee-a402-c76bb34ad550,-59.32655,-3.49671,2023-05-27 17:56:00,AQUA_M-T,AUTAZES,AMAZONAS,Brasil,POINT (-3.49671 -59.32655)
focos_ams_ontem_hoje_ref.a5d7a667-0562-3f2f-9411-95c96b2c4a75,-64.05985,-12.7683,2023-05-27 17:54:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-12.7683 -64.05985)
focos_ams_ontem_hoje_ref.9c2f6fe7-3da7-3179-808f-6474b2d63120,-56.60873,-11.4463,2023-05-27 17:54:00,AQUA_M-T,TABAPORÃ,MATO GROSSO,Brasil,POINT (-11.4463 -56.60873)
focos_ams_ontem_hoje_ref.dce2feaa-3e2a-3f86-af1a-e040a8792c18,-56.55692,-11.7562,2023-05-27 17:54:00,AQUA_M-T,PORTO DOS GAÚCHOS,MATO GROSSO,Brasil,POINT (-11.7562 -56.55692)
focos_ams_ontem_hoje_ref.6b8b6858-f076-3503-9f07-e4461c63f4f9,-57.18103,-12.43561,2023-05-27 17:54:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.43561 -57.18103)
focos_ams_ontem_hoje_ref.f9fa1fff-139e-315e-b064-d6796b981cd7,-54.27049,-11.09661,2023-05-27 17:54:00,AQUA_M-T,MARCELÂNDIA,MATO GROSSO,Brasil,POINT (-11.09661 -54.27049)
focos_ams_ontem_hoje_ref.46904bb5-2970-3093-9085-4e300d078048,-57.35617,-10.26066,2023-05-27 17:54:00,AQUA_M-T,NOVA MONTE VERDE,MATO GROSSO,Brasil,POINT (-10.26066 -57.35617)
focos_ams_ontem_hoje_ref.d4ade611-1ae6-3dc3-9c79-3fa5fffc7787,-57.19134,-12.43718,2023-05-27 17:54:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.43718 -57.19134)
focos_ams_ontem_hoje_ref.812c9ee4-723d-393e-af6f-04c5c88a14b5,-56.56817,-11.75796,2023-05-27 17:54:00,AQUA_M-T,PORTO DOS GAÚCHOS,MATO GROSSO,Brasil,POINT (-11.75796 -56.56817)
focos_ams_ontem_hoje_ref.f4559d87-4a36-38eb-aa66-5ba87cb8acdd,-57.17949,-12.44508,2023-05-27 17:54:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.44508 -57.17949)
focos_ams_ontem_hoje_ref.c19dd814-2191-3fc0-8eea-5cb8aa6e8c64,-57.17788,-12.45453,2023-05-27 17:54:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.45453 -57.17788)
focos_ams_ontem_hoje_ref.c2e0aca1-3426-3627-8bdd-c64eed077a8f,-58.77461,-11.44834,2023-05-27 17:54:00,AQUA_M-T,JUÍNA,MATO GROSSO,Brasil,POINT (-11.44834 -58.77461)
focos_ams_ontem_hoje_ref.f107d1fb-12fc-31eb-bce7-1c2b0099ac2f,-55.03492,-11.76439,2023-05-27 17:54:00,AQUA_M-T,SANTA CARMEM,MATO GROSSO,Brasil,POINT (-11.76439 -55.03492)
focos_ams_ontem_hoje_ref.229f783e-f108-37ec-b0c9-175f9055b4e8,-57.5873,-12.47827,2023-05-27 17:54:00,AQUA_M-T,BRASNORTE,MATO GROSSO,Brasil,POINT (-12.47827 -57.5873)
focos_ams_ontem_hoje_ref.f743b7a8-0c35-30ef-80af-aaac4011b05d,-57.20824,-12.4925,2023-05-27 17:54:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.4925 -57.20824)
focos_ams_ontem_hoje_ref.e36b8fb0-9206-3b24-8a5e-3c1f3b1f82e3,-56.69241,-9.03316,2023-05-27 17:54:00,AQUA_M-T,JACAREACANGA,PARÁ,Brasil,POINT (-9.03316 -56.69241)
focos_ams_ontem_hoje_ref.fdc35b89-90e2-388c-997d-921e82b4db07,-59.16398,-9.05627,2023-05-27 17:54:00,AQUA_M-T,COLNIZA,MATO GROSSO,Brasil,POINT (-9.05627 -59.16398)
focos_ams_ontem_hoje_ref.8ed202c9-bcb0-3332-9eaf-66035960dbf9,-55.02934,-11.76445,2023-05-27 17:54:00,AQUA_M-T,SANTA CARMEM,MATO GROSSO,Brasil,POINT (-11.76445 -55.02934)
focos_ams_ontem_hoje_ref.618f00ed-f438-362c-8c80-c9c225802e77,-55.20007,-12.50519,2023-05-27 17:54:00,AQUA_M-T,VERA,MATO GROSSO,Brasil,POINT (-12.50519 -55.20007)
focos_ams_ontem_hoje_ref.4daa47a1-41e7-3f1c-aedf-fb3a7b10987f,-59.17321,-9.05763,2023-05-27 17:54:00,AQUA_M-T,COLNIZA,MATO GROSSO,Brasil,POINT (-9.05763 -59.17321)
focos_ams_ontem_hoje_ref.40392718-8bee-301f-bc86-816f1aa10abf,-59.15339,-9.06396,2023-05-27 17:54:00,AQUA_M-T,COLNIZA,MATO GROSSO,Brasil,POINT (-9.06396 -59.15339)
focos_ams_ontem_hoje_ref.dbe10843-3ec5-3f03-a4e9-ccc92c2573af,-58.05548,-12.51218,2023-05-27 17:54:00,AQUA_M-T,BRASNORTE,MATO GROSSO,Brasil,POINT (-12.51218 -58.05548)
focos_ams_ontem_hoje_ref.393bbb89-92e1-31d6-afe7-8eea62789808,-59.16262,-9.06532,2023-05-27 17:54:00,AQUA_M-T,COLNIZA,MATO GROSSO,Brasil,POINT (-9.06532 -59.16262)
focos_ams_ontem_hoje_ref.60e4c513-f085-3a94-9ad7-12ff40eb89e8,-60.7585,-11.48615,2023-05-27 17:54:00,AQUA_M-T,ESPIGÃO D'OESTE,RONDÔNIA,Brasil,POINT (-11.48615 -60.7585)
focos_ams_ontem_hoje_ref.ace9bf08-f879-3450-adcd-0f4a5f041299,-59.17184,-9.06667,2023-05-27 17:54:00,AQUA_M-T,COLNIZA,MATO GROSSO,Brasil,POINT (-9.06667 -59.17184)
focos_ams_ontem_hoje_ref.ff810efc-6bdc-3130-a577-b7c1396d2b49,-54.66797,-11.77405,2023-05-27 17:54:00,AQUA_M-T,SANTA CARMEM,MATO GROSSO,Brasil,POINT (-11.77405 -54.66797)
focos_ams_ontem_hoje_ref.64fc33b1-6a7b-37b2-b296-d88e65303e7e,-57.23597,-12.51612,2023-05-27 17:54:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.51612 -57.23597)
focos_ams_ontem_hoje_ref.ea68163a-fd47-3322-8296-51f7e1f015cb,-54.27468,-11.10314,2023-05-27 17:54:00,AQUA_M-T,MARCELÂNDIA,MATO GROSSO,Brasil,POINT (-11.10314 -54.27468)
focos_ams_ontem_hoje_ref.2d713a58-d4c1-37f2-8ba6-6bcede2a44e0,-59.17048,-9.07571,2023-05-27 17:54:00,AQUA_M-T,COLNIZA,MATO GROSSO,Brasil,POINT (-9.07571 -59.17048)
focos_ams_ontem_hoje_ref.0d38d980-04af-3edb-a0c0-e0c4476032a8,-62.68505,-9.08842,2023-05-27 17:54:00,AQUA_M-T,CUJUBIM,RONDÔNIA,Brasil,POINT (-9.08842 -62.68505)
focos_ams_ontem_hoje_ref.de149381-2994-353e-8179-d7e16ffc45c4,-56.91625,-12.54009,2023-05-27 17:54:00,AQUA_M-T,TAPURAH,MATO GROSSO,Brasil,POINT (-12.54009 -56.91625)
focos_ams_ontem_hoje_ref.80767582-babb-39a2-a46b-0355b53c1b9f,-63.45918,-9.51001,2023-05-27 17:54:00,AQUA_M-T,ALTO PARAÍSO,RONDÔNIA,Brasil,POINT (-9.51001 -63.45918)
focos_ams_ontem_hoje_ref.b2c3176f-53c6-39fe-b00f-ead1d8684ef1,-63.46426,-9.513,2023-05-27 17:54:00,AQUA_M-T,ALTO PARAÍSO,RONDÔNIA,Brasil,POINT (-9.513 -63.46426)
focos_ams_ontem_hoje_ref.39ca7f0c-c891-35ee-b801-2b65a667409b,-57.83829,-11.87049,2023-05-27 17:54:00,AQUA_M-T,JUARA,MATO GROSSO,Brasil,POINT (-11.87049 -57.83829)
focos_ams_ontem_hoje_ref.84a02efa-a9e5-3039-81d3-ecfe22d18a86,-55.16047,-12.62319,2023-05-27 17:54:00,AQUA_M-T,FELIZ NATAL,MATO GROSSO,Brasil,POINT (-12.62319 -55.16047)
focos_ams_ontem_hoje_ref.d767db39-10a0-39ef-b4ad-3aaa8e786fba,-63.11187,-9.69821,2023-05-27 17:54:00,AQUA_M-T,ALTO PARAÍSO,RONDÔNIA,Brasil,POINT (-9.69821 -63.11187)
focos_ams_ontem_hoje_ref.60f4f4d3-c8cf-31a7-bb1c-74a1885ca87e,-63.12333,-9.69977,2023-05-27 17:54:00,AQUA_M-T,ALTO PARAÍSO,RONDÔNIA,Brasil,POINT (-9.69977 -63.12333)
focos_ams_ontem_hoje_ref.e5c7ddd0-d69f-361b-ad89-6f986d9c3c0f,-56.92953,-12.62384,2023-05-27 17:54:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.62384 -56.92953)
focos_ams_ontem_hoje_ref.027cc256-fcf0-3f4e-a0c6-a57fd567af2c,-57.42546,-9.7085,2023-05-27 17:54:00,AQUA_M-T,NOVA MONTE VERDE,MATO GROSSO,Brasil,POINT (-9.7085 -57.42546)
focos_ams_ontem_hoje_ref.624d3571-b3ed-31b6-8fc1-d1884da71d45,-56.35267,-11.57052,2023-05-27 17:54:00,AQUA_M-T,TABAPORÃ,MATO GROSSO,Brasil,POINT (-11.57052 -56.35267)
focos_ams_ontem_hoje_ref.16180de0-3fc6-38e7-90b8-4c83842b7a45,-53.68972,-9.76172,2023-05-27 17:54:00,AQUA_M-T,PEIXOTO DE AZEVEDO,MATO GROSSO,Brasil,POINT (-9.76172 -53.68972)
focos_ams_ontem_hoje_ref.b580e29a-30b9-3203-96d4-24ffbe466675,-57.84803,-11.87196,2023-05-27 17:54:00,AQUA_M-T,JUARA,MATO GROSSO,Brasil,POINT (-11.87196 -57.84803)
focos_ams_ontem_hoje_ref.1c0c2769-086b-3a23-becd-7ba6a09d9dbc,-56.94007,-12.62549,2023-05-27 17:54:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.62549 -56.94007)
focos_ams_ontem_hoje_ref.b86252a7-27e7-3edf-ba97-10ddbfd6010f,-55.16659,-12.62909,2023-05-27 17:54:00,AQUA_M-T,FELIZ NATAL,MATO GROSSO,Brasil,POINT (-12.62909 -55.16659)
focos_ams_ontem_hoje_ref.568b4857-1930-37be-8c5d-1e5302eddac4,-57.26596,-12.06054,2023-05-27 17:54:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.06054 -57.26596)
focos_ams_ontem_hoje_ref.ea1a12ce-1733-37b1-b5ae-92aa4b3374a0,-56.92801,-12.63341,2023-05-27 17:54:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.63341 -56.92801)
focos_ams_ontem_hoje_ref.b4d8de78-c152-3811-be4e-62087c26b505,-56.93853,-12.63505,2023-05-27 17:54:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.63505 -56.93853)
focos_ams_ontem_hoje_ref.8449acee-9091-32de-ac03-4253cabaa404,-51.0646,-11.62862,2023-05-27 17:54:00,AQUA_M-T,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,Brasil,POINT (-11.62862 -51.0646)
focos_ams_ontem_hoje_ref.6ee254d8-fe3b-3de1-9326-1777983474ac,-57.25406,-12.06842,2023-05-27 17:54:00,AQUA_M-T,NOVA MARINGÁ,MATO GROSSO,Brasil,POINT (-12.06842 -57.25406)
focos_ams_ontem_hoje_ref.6bcb99c2-d636-3af5-9286-a4e39f896692,-54.46638,-12.67405,2023-05-27 17:54:00,AQUA_M-T,NOVA UBIRATÃ,MATO GROSSO,Brasil,POINT (-12.67405 -54.46638)
